Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
h,START,1.2029,0.0000,0.1045,0,84.59
e,h_e,1.2933,0.0904,0.0964,1,84.59
y,e_y,0.0259,0.1222,0.0939,0,84.59
<space>,y_<space>,0.1168,0.0909,0.0852,1,84.59
i,<space>_i,0.0423,0.1275,0.0812,0,84.59
m,i_m,0.1292,0.2104,0.1196,0,84.59
<space>,m_<space>,0.1965,0.0673,0.1180,1,84.59
h,<space>_h,0.1565,0.2745,0.0852,0,84.59
e,h_e,0.0589,0.1442,0.0702,0,84.59
t,e_t,0.0903,0.1605,0.0912,0,84.59
<space>,t_<space>,0.0140,0.1052,0.0726,0,84.59
p,<space>_p,0.0952,0.1678,0.0964,0,84.59
a,p_a,0.0101,0.1065,0.0764,0,84.59
t,a_t,0.1819,0.2583,0.0533,0,84.59
e,t_e,0.1213,0.1745,0.1017,0,84.59
l,e_l,0.1957,0.0745,0.1504,1,84.59
<space>,l_<space>,0.0616,0.0889,0.1152,0,84.59
a,<space>_a,0.0020,0.1172,0.0965,0,84.59
n,a_n,0.0379,0.1345,0.0810,0,84.59
d,n_d,0.0036,0.0846,0.0929,0,84.59
<space>,d_<space>,0.0870,0.0835,0.0999,1,84.59
i,<space>_i,0.0403,0.1402,0.0900,0,84.59
<space>,i_<space>,0.1243,0.0840,0.0396,1,84.59
h,<space>_h,0.0891,0.1287,0.0917,0,84.59
a,h_a,0.0051,0.0968,0.0884,0,84.59
v,a_v,0.0392,0.1276,0.0918,0,84.59
e,v_e,0.1248,0.0856,0.0886,1,84.59
<space>,e_<space>,0.0571,0.1458,0.0794,0,84.59
a,<space>_a,0.1218,0.0646,0.0857,1,84.59
<space>,a_<space>,0.0361,0.1218,0.0693,0,84.59
s,<space>_s,0.0769,0.1462,0.0581,0,84.59
m,s_m,0.1243,0.0474,0.0925,1,84.59
a,m_a,0.0566,0.1491,0.0863,0,84.59
l,a_l,0.1227,0.0662,0.0521,1,84.59
l,l_l,0.0858,0.1379,0.1078,0,84.59
<space>,l_<space>,0.0067,0.1144,0.0819,0,84.59
w,<space>_w,0.0706,0.1525,0.0950,0,84.59
i,w_i,0.0243,0.1193,0.0537,0,84.59
l,i_l,0.1305,0.1842,0.0470,0,84.59
l,l_l,0.1372,0.1842,0.0303,0,84.59
y,l_y,0.0379,0.0682,0.0839,0,84.59
