Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
h,START,1.0740,0.0000,0.2116,0,46.45
i,h_i,1.2219,0.1479,0.1434,1,46.45
<space>,i_<space>,0.0266,0.1701,0.1455,0,46.45
i,<space>_i,0.5553,0.7008,0.0742,0,46.45
m,i_m,0.1323,0.2066,0.0921,0,46.45
<space>,m_<space>,0.0543,0.1463,0.1262,0,46.45
<shift>,<space>_<shift>,0.2930,0.4192,0.2465,0,46.45
n,A_n,0.2943,0.4209,0.1413,0,46.45
i,n_i,0.4045,0.1102,0.1415,1,46.45
t,i_t,0.0117,0.1532,0.0906,0,46.45
h,t_h,0.0139,0.1044,0.0950,0,46.45
s,h_s,0.0982,0.1932,0.0789,0,46.45
<space>,s_<space>,0.0486,0.1274,0.1176,0,46.45
<shift>,<space>_<shift>,1.7650,1.8827,0.2782,0,46.45
i,R_i,0.0701,0.1775,0.0692,0,46.45
s,i_s,0.0324,0.1016,0.1236,0,46.45
h,s_h,0.0523,0.1759,0.1341,0,46.45
i,h_i,0.1481,0.0958,0.1194,1,46.45
<space>,i_<space>,0.0429,0.0812,0.1318,0,46.45
i,<space>_i,0.0497,0.1816,0.0749,0,46.45
s,i_s,0.1004,0.1752,0.1445,0,46.45
<space>,s_<space>,0.1664,0.0660,0.1256,1,46.45
s,<space>_s,0.1662,0.2917,0.1231,0,46.45
h,s_h,0.0014,0.1245,0.1036,0,46.45
o,h_o,0.0622,0.1658,0.1305,0,46.45
w,o_w,0.0656,0.1960,0.1433,0,46.45
i,w_i,0.1453,0.2886,0.0630,0,46.45
n,i_n,0.1269,0.1899,0.0955,0,46.45
g,n_g,0.2778,0.3733,0.0878,0,46.45
<space>,g_<space>,0.0809,0.1687,0.1055,0,46.45
m,<space>_m,0.0594,0.1649,0.0827,0,46.45
e,m_e,0.0620,0.1447,0.1489,0,46.45
<space>,e_<space>,0.1776,0.1156,0.0958,1,46.45
h,<space>_h,0.7736,0.8694,0.1947,0,46.45
i,h_i,0.9358,0.1621,0.1370,1,46.45
s,i_s,0.0372,0.1741,0.1956,0,46.45
<space>,s_<space>,0.1517,0.1145,0.1263,1,46.45
p,<space>_p,0.1864,0.3127,0.1114,0,46.45
r,p_r,0.2363,0.3477,0.0970,0,46.45
o,r_o,0.1679,0.2649,0.0786,0,46.45
j,o_j,0.1984,0.2770,0.0833,0,46.45
e,j_e,0.0753,0.1586,0.1201,0,46.45
c,e_c,0.2638,0.3840,0.1220,0,46.45
t,c_t,0.1558,0.2778,0.1194,0,46.45
<space>,t_<space>,0.5023,0.6216,0.1260,0,46.45
i,<space>_i,0.0918,0.2178,0.0796,0,46.45
m,i_m,0.1008,0.1805,0.0815,0,46.45
<space>,m_<space>,0.0599,0.1413,0.1220,0,46.45
s,<space>_s,0.1634,0.2854,0.0994,0,46.45
o,s_o,0.0732,0.1726,0.0902,0,46.45
<space>,o_<space>,0.1560,0.2462,0.1309,0,46.45
e,<space>_e,0.1092,0.2401,0.0947,0,46.45
x,e_x,0.3358,0.4304,0.1211,0,46.45
c,x_c,0.1264,0.2474,0.1181,0,46.45
i,c_i,0.1322,0.2503,0.0844,0,46.45
t,i_t,0.1267,0.2112,0.1224,0,46.45
e,t_e,0.2351,0.1084,0.0757,1,46.45
d,e_d,0.1667,0.2424,0.1556,0,46.45
<space>,d_<space>,0.2979,0.1312,0.1110,1,46.45
t,<space>_t,0.1599,0.2709,0.1150,0,46.45
o,t_o,0.0804,0.1954,0.0823,0,46.45
<space>,o_<space>,0.0444,0.1267,0.1193,0,46.45
s,<space>_s,0.1078,0.2271,0.1561,0,46.45
e,s_e,0.2560,0.1482,0.0812,1,46.45
e,e_e,0.0822,0.1634,0.1169,0,46.45
<space>,e_<space>,0.1164,0.2334,0.1192,0,46.45
t,<space>_t,0.1297,0.2489,0.0983,0,46.45
h,t_h,0.0607,0.1590,0.1081,0,46.45
e,h_e,0.1330,0.0723,0.1611,1,46.45
<space>,e_<space>,0.0496,0.0854,0.1551,0,46.45
p,<space>_p,0.5451,0.7001,0.0982,0,46.45
r,p_r,0.0825,0.1806,0.1290,0,46.45
o,r_o,0.1085,0.2375,0.0741,0,46.45
i,START,0.0,0.0,0.020448684692382812,1,63.3
m,i_m,0.09613394737243652,0.11658263206481934,0.10404109954833984,0,63.3
<space>,m_<space>,0.008061408996582031,0.11210250854492188,0.13377737998962402,0,63.3
u,<space>_u,0.1976912021636963,0.3314685821533203,0.08653140068054199,0,63.3
s,u_s,0.042961835861206055,0.12949323654174805,0.16764116287231445,0,63.3
e,s_e,0.15692377090454102,0.11396193504333496,0.11650300025939941,1,63.3
r,e_r,0.06871604919433594,0.18521904945373535,0.17169785499572754,0,63.3
<space>,r_<space>,0.19826364517211914,0.1295475959777832,0.13494110107421875,1,63.3
w,<space>_w,0.20356154441833496,0.3385026454925537,0.12182021141052246,0,63.3
h,w_h,0.1023263931274414,0.22414660453796387,0.08803343772888184,0,63.3
a,h_a,0.03331732749938965,0.12135076522827148,0.10248446464538574,0,63.3
t,a_t,0.11551427841186523,0.21799874305725098,0.1191401481628418,0,63.3
<space>,t_<space>,0.17207598686218262,0.05656170845031738,0.12608814239501953,1,63.3
u,<space>_u,0.3369271755218506,0.4630153179168701,0.07082414627075195,0,63.3
<space>,u_<space>,0.03435564041137695,0.1051797866821289,0.11292481422424316,0,63.3
f,<space>_f,0.11547160148620605,0.22839641571044922,0.06734704971313477,0,63.3
o,f_o,0.07929062843322754,0.1466376781463623,0.07399797439575195,0,63.3
n,o_n,0.15861082077026367,0.23260879516601562,0.08854174613952637,0,63.3
d,n_d,0.08430171012878418,0.17284345626831055,0.11856389045715332,0,63.3
<space>,d_<space>,0.19497346878051758,0.1106717586517334,0.10815978050231934,1,63.3
o,<space>_o,0.1264040470123291,0.23456382751464844,0.11008858680725098,0,63.3
u,o_u,0.09304666519165039,0.20313525199890137,0.09735679626464844,0,63.3
t,u_t,0.10390973091125488,0.20126652717590332,0.09890937805175781,0,63.3
t,START,0.0000,0.0000,0.1090,1,50.04
o,t_o,0.0495,0.1585,0.0767,0,50.04
d,o_d,0.1107,0.1874,0.2106,0,50.04
a,d_a,0.2638,0.1531,0.1584,1,50.04
<space>,a_<space>,0.0462,0.1037,0.1200,0,50.04
y,<space>_y,0.0300,0.1500,0.0452,0,50.04
<space>,y_<space>,0.2467,0.2919,0.1420,0,50.04
i,<space>_i,0.1091,0.2511,0.0675,0,50.04
