Timestamp,Session_Keys_Typed,Session_WPM,Estimated_Hand_Span_cm
2026-02-22 12:44:31,85,83.53,22.69
2026-02-22 12:46:51,96,82.66,22.6
2026-02-22 12:56:27,86,87.18,22.5
2026-02-22 13:14:51,65,82.74,22.75
2026-02-22 15:15:08,46,98.28,23.19
