Timestamp,Session_Keys_Typed,Session_WPM,Estimated_Hand_Span_cm
2026-02-23 11:45:32,23,63.3,22.34
2026-02-23 11:48:01,44,36.34,21.78
2026-02-24 18:34:23,33,31.34,20.84
