Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
e,l_e,0.0662,0.1302,0.0877,0,88.02
<space>,e_<space>,0.0218,0.1095,0.1001,0,88.02
f,<space>_f,0.1300,0.2301,0.0735,0,88.02
u,f_u,0.1401,0.2136,0.0572,0,88.02
c,u_c,0.0335,0.0908,0.0904,0,88.02
k,c_k,0.0076,0.0979,0.0274,0,88.02
<space>,k_<space>,0.0885,0.1160,0.0582,0,88.02
m,<space>_m,0.0823,0.1405,0.0733,0,88.02
y,m_y,0.0281,0.1015,0.0638,0,88.02
<space>,y_<space>,0.0882,0.0601,0.0591,1,88.02
a,<space>_a,0.1072,0.1664,0.1081,0,88.02
s,a_s,0.1840,0.0767,0.0618,1,88.02
s,s_s,0.0736,0.1354,0.0832,0,88.02
<space>,s_<space>,0.1329,0.2161,0.0879,0,88.02
a,<space>_a,0.1615,0.2493,0.0997,0,88.02
n,a_n,0.2542,0.0928,0.0559,1,88.02
d,n_d,0.0502,0.1061,0.0789,0,88.02
<space>,d_<space>,0.1240,0.0739,0.0529,1,88.02
t,<space>_t,0.0749,0.1277,0.0575,0,88.02
r,t_r,0.0722,0.1298,0.0729,0,88.02
a,r_a,0.0991,0.1720,0.0900,0,88.02
n,a_n,0.1804,0.0814,0.0668,1,88.02
s,n_s,0.0307,0.0975,0.0855,0,88.02
p,s_p,0.0292,0.1147,0.0530,0,88.02
o,p_o,0.0611,0.1141,0.0784,0,88.02
r,o_r,0.1319,0.0708,0.0702,1,88.02
t,r_t,0.0726,0.1428,0.0687,0,88.02
<space>,t_<space>,0.0202,0.0889,0.0478,0,88.02
i,<space>_i,0.1604,0.2083,0.0501,0,88.02
n,i_n,0.0899,0.1400,0.0729,0,88.02
t,n_t,0.0553,0.1282,0.0674,0,88.02
o,t_o,0.0185,0.0859,0.0437,0,88.02
<space>,o_<space>,0.1221,0.1658,0.0457,0,88.02
a,<space>_a,0.0278,0.0735,0.0901,0,88.02
<space>,a_<space>,0.1103,0.0825,0.0702,1,88.02
s,<space>_s,0.0456,0.1158,0.1028,0,88.02
h,s_h,0.1270,0.0814,0.0521,1,88.02
u,h_u,0.0749,0.1271,0.0550,0,88.02
t,u_t,0.0088,0.0638,0.0552,0,88.02
i,START,0.0,0.0,0.0019979476928710938,1,108.91
<space>,i_<space>,0.11719918251037598,0.11919713020324707,0.06101369857788086,0,108.91
a,<space>_a,0.042645931243896484,0.10365962982177734,0.08831954002380371,0,108.91
m,a_m,0.0998070240020752,0.05716109275817871,0.05227327346801758,1,108.91
<space>,m_<space>,0.06372737884521484,0.11600065231323242,0.054419755935668945,0,108.91
