SL.no.,Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
1196,g,<space>_g,0.5515,0.6644,0.0821,0,84.59
1197,o,g_o,0.619,0.0675,0.1257,1,84.59
1198,t,o_t,0.0043,0.13,0.0883,0,84.59
1199,<space>,t_<space>,0.0107,0.099,0.0828,0,84.59
1200,g,<space>_g,0.0394,0.1223,0.0862,0,84.59
1201,o,g_o,0.0256,0.1118,0.0493,0,84.59
1202,o,o_o,0.1004,0.1497,0.0701,0,84.59
1203,d,o_d,0.008,0.0781,0.0995,0,84.59
1204,<space>,d_<space>,0.0421,0.1416,0.0638,0,84.59
1205,p,<space>_p,0.0397,0.1035,0.1328,0,84.59
1206,e,p_e,0.1181,0.0784,0.0679,1,84.59
1207,r,e_r,0.0843,0.1522,0.075,0,84.59
1208,c,r_c,0.1899,0.2649,0.0827,0,84.59
1209,e,c_e,0.1407,0.2233,0.0579,0,84.59
1210,n,e_n,0.0255,0.0833,0.0373,0,84.59
1211,t,n_t,0.1114,0.1487,0.0733,0,84.59
1212,i,t_i,0.04,0.1133,0.0848,0,84.59
1213,l,i_l,0.1136,0.1984,0.1183,0,84.59
1214,e,l_e,0.1913,0.0777,0.0859,1,84.59
1215,<space>,e_<space>,0.0417,0.0823,0.1173,0,84.59
1216,i,<space>_i,0.096,0.0996,0.0847,0,84.59
1217,n,i_n,0.1189,0.2037,0.0938,0,84.59
1218,<space>,n_<space>,0.192,0.073,0.1171,1,84.59
1219,j,<space>_j,0.0156,0.1327,0.1344,0,84.59
1220,e,j_e,0.1121,0.0965,0.0839,1,84.59
1221,e,e_e,0.0908,0.1747,0.082,0,84.59
1222,<space>,e_<space>,0.1557,0.2376,0.1197,0,84.59
1223,m,<space>_m,0.0781,0.1978,0.0928,0,84.59
1224,a,m_a,0.0313,0.1241,0.1004,0,84.59
1225,i,a_i,0.02,0.1204,0.0598,0,84.59
1226,n,i_n,0.1244,0.1841,0.098,0,84.59
1227,s,n_s,0.002,0.1,0.0533,0,84.59
1228,<space>,s_<space>,0.0375,0.0907,0.0903,0,84.59
1229,a,<space>_a,0.0158,0.1061,0.0605,0,84.59
1230,n,a_n,0.0445,0.1051,0.0923,0,84.59
1231,d,n_d,0.0151,0.1074,0.0759,0,84.59
1232,<space>,d_<space>,0.0281,0.104,0.1167,0,84.59
1233,t,<space>_t,0.1142,0.2309,0.0784,0,84.59
1234,h,t_h,0.0188,0.0972,0.094,0,84.59
1235,e,h_e,0.0319,0.1259,0.094,0,84.59
1236,n,e_n,0.0962,0.0644,0.1242,1,84.59
1237,<space>,n_<space>,0.0388,0.0684,0.1327,0,84.59
1238,g,<space>_g,0.0923,0.225,0.0624,0,84.59
1239,o,g_o,0.017,0.0794,0.0529,0,84.59
1240,o,o_o,0.0722,0.125,0.1236,0,84.59
1241,d,o_d,0.001,0.1247,0.0854,0,84.59
1242,<space>,d_<space>,0.014,0.0994,0.1315,0,84.59
1243,r,<space>_r,0.2082,0.3398,0.0749,0,84.59
1244,a,r_a,0.1487,0.2236,0.099,0,84.59
1245,n,a_n,0.2271,0.0784,0.0533,1,84.59
1246,k,n_k,0.095,0.1483,0.1266,0,84.59
1247,<space>,k_<space>,0.1625,0.0675,0.1328,1,84.59
1248,a,<space>_a,0.0453,0.1045,0.0615,0,84.59
1249,t,a_t,0.171,0.2325,0.0646,0,84.59
1250,<space>,t_<space>,0.0015,0.0661,0.0911,0,84.59
1251,e,j_e,0.174,0.0716,0.0462,1,84.59
1252,j,<space>_j,0.1023,0.1934,0.1302,0,84.59
1253,e,e_e,0.0716,0.1301,0.1123,0,84.59
1254,<space>,e_<space>,0.0253,0.1376,0.14,0,84.59
1255,a,<space>_a,0.0612,0.2012,0.0699,0,84.59
1256,d,a_d,0.125,0.1949,0.1008,0,84.59
1257,v,d_v,0.0268,0.1276,0.0767,0,84.59
1258,<space>,v_<space>,0.0362,0.1129,0.1095,0,84.59
1259,s,<space>_s,0.1245,0.234,0.0665,0,84.59
1260,o,s_o,0.0289,0.0953,0.1367,0,84.59
1261,<space>,o_<space>,0.1051,0.0762,0.1411,1,84.59
